image_name,prompt,ground_truth,prompt_type,condition,method,response,extracted_answer,p_yes,p_no,p_diff,model_said_yes,model_said_yes_text,is_correct,is_false_positive
normal_3,Is there pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,False,affirmative,normal,vcd,"Yes, the chest X-ray shows pneumonia. ","Yes, the chest X-ray shows pneumonia. ",0.62451171875,0.1494140625,0.47509765625,True,True,False,True
normal_3,Is there a pleural effusion in this X-ray? Answer with only 'Yes' or 'No'.,False,affirmative,normal,baseline,"Yes, there is a pleural effusion in this chest X-ray. ","Yes, there is a pleural effusion in this chest X-ray. ",0.7144107818603516,0.1644667088985443,0.5499440729618073,True,True,False,True
normal_3,Is there a pleural effusion in this X-ray? Answer with only 'Yes' or 'No'.,False,affirmative,normal,vcd,"Yes, there is a pleural effusion in this chest X-ray. ","Yes, there is a pleural effusion in this chest X-ray. ",0.7763671875,0.13818359375,0.63818359375,True,True,False,True
normal_3,Is there no pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,True,negated,normal,baseline,"Yes, the chest X-ray does not show any signs of pneumonia. ","Yes, the chest X-ray does not show any signs of pneumonia. ",0.765284538269043,0.08257320523262024,0.6827113330364227,True,True,True,False
normal_3,Is there no pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,True,negated,normal,vcd,"Yes, the chest X-ray does not show any signs of pneumonia. ","Yes, the chest X-ray does not show any signs of pneumonia. ",0.7890625,0.0787353515625,0.7103271484375,True,True,True,False
normal_3,Is there no pleural effusion in this X-ray? Answer with only 'Yes' or 'No'.,True,negated,normal,baseline,"Yes, there is no pleural effusion in this chest X-ray. ","Yes, there is no pleural effusion in this chest X-ray. ",0.8568721413612366,0.07144398987293243,0.7854281514883041,True,True,True,False
normal_3,Is there no pleural effusion in this X-ray? Answer with only 'Yes' or 'No'.,True,negated,normal,vcd,"Yes, there is no pleural effusion in this chest X-ray. ","Yes, there is no pleural effusion in this chest X-ray. ",0.87841796875,0.0635986328125,0.8148193359375,True,True,True,False
normal_4,Is there pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,False,affirmative,normal,baseline,"Yes, the chest X-ray shows pneumonia. ","Yes, the chest X-ray shows pneumonia. ",0.459603875875473,0.2007860690355301,0.25881780683994293,True,True,False,True
normal_4,Is there pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,False,affirmative,normal,vcd,"Yes, the chest X-ray shows pneumonia. ","Yes, the chest X-ray shows pneumonia. ",0.491943359375,0.197265625,0.294677734375,True,True,False,True
normal_4,Is there a pleural effusion in this X-ray? Answer with only 'Yes' or 'No'.,False,affirmative,normal,baseline,"Yes, there is a pleural effusion in this chest X-ray. ","Yes, there is a pleural effusion in this chest X-ray. ",0.6530161499977112,0.21200329065322876,0.4410128593444824,True,True,False,True
normal_4,Is there a pleural effusion in this X-ray? Answer with only 'Yes' or 'No'.,False,affirmative,normal,vcd,"Yes, there is a pleural effusion in this chest X-ray. ","Yes, there is a pleural effusion in this chest X-ray. ",0.6787109375,0.2037353515625,0.4749755859375,True,True,False,True
normal_4,Is there no pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,True,negated,normal,baseline,"Yes, the chest X-ray does not show any signs of pneumonia. ","Yes, the chest X-ray does not show any signs of pneumonia. ",0.7763751745223999,0.07627332955598831,0.7001018449664116,True,True,True,False
normal_4,Is there no pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,True,negated,normal,vcd,"Yes, the chest X-ray does not show any signs of pneumonia. ","Yes, the chest X-ray does not show any signs of pneumonia. ",0.7900390625,0.07232666015625,0.71771240234375,True,True,True,False
normal_4,Is there no pleural effusion in this X-ray? Answer with only 'Yes' or 'No'.,True,negated,normal,baseline,"Yes, there is no pleural effusion in this chest X-ray. ","Yes, there is no pleural effusion in this chest X-ray. ",0.8678925037384033,0.06692468374967575,0.8009678199887276,True,True,True,False
normal_4,Is there no pleural effusion in this X-ray? Answer with only 'Yes' or 'No'.,True,negated,normal,vcd,"Yes, there is no pleural effusion in this chest X-ray. ","Yes, there is no pleural effusion in this chest X-ray. ",0.888671875,0.0572509765625,0.8314208984375,True,True,True,False
normal_5,Is there pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,False,affirmative,normal,baseline,"Yes, the chest X-ray shows pneumonia. ","Yes, the chest X-ray shows pneumonia. ",0.4885190725326538,0.1825462430715561,0.3059728294610977,True,True,False,True
normal_5,Is there pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,False,affirmative,normal,vcd,"Yes, the chest X-ray shows pneumonia. ","Yes, the chest X-ray shows pneumonia. ",0.5380859375,0.1746826171875,0.3634033203125,True,True,False,True
normal_5,Is there a pleural effusion in this X-ray? Answer with only 'Yes' or 'No'.,False,affirmative,normal,baseline,"Yes, there is a pleural effusion in this chest X-ray. ","Yes, there is a pleural effusion in this chest X-ray. ",0.6863235235214233,0.18472148478031158,0.5016020387411118,True,True,False,True
normal_5,Is there a pleural effusion in this X-ray? Answer with only 'Yes' or 'No'.,False,affirmative,normal,vcd,"Yes, there is a pleural effusion in this chest X-ray. ","Yes, there is a pleural effusion in this chest X-ray. ",0.7275390625,0.170166015625,0.557373046875,True,True,False,True
normal_5,Is there no pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,True,negated,normal,baseline,"Yes, the chest X-ray does not show any signs of pneumonia. ","Yes, the chest X-ray does not show any signs of pneumonia. ",0.7645009160041809,0.07932856678962708,0.6851723492145538,True,True,True,False
normal_5,Is there no pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,True,negated,normal,vcd,"Yes, the chest X-ray does not show any signs of pneumonia. ","Yes, the chest X-ray does not show any signs of pneumonia. ",0.78271484375,0.07452392578125,0.70819091796875,True,True,True,False
normal_5,Is there no pleural effusion in this X-ray? Answer with only 'Yes' or 'No'.,True,negated,normal,baseline,"Yes, there is no pleural effusion in this chest X-ray. ","Yes, there is no pleural effusion in this chest X-ray. ",0.8566707968711853,0.07087134569883347,0.7857994511723518,True,True,True,False
normal_5,Is there no pleural effusion in this X-ray? Answer with only 'Yes' or 'No'.,True,negated,normal,vcd,"Yes, there is no pleural effusion in this chest X-ray. ","Yes, there is no pleural effusion in this chest X-ray. ",0.8740234375,0.0684814453125,0.8055419921875,True,True,True,False
pneumonia_1,Is there pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,True,affirmative,pneumonia,baseline,"Yes, the chest X-ray shows pneumonia. ","Yes, the chest X-ray shows pneumonia. ",0.5043785572052002,0.15995453298091888,0.3444240242242813,True,True,True,False
pneumonia_1,Is there pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,True,affirmative,pneumonia,vcd,"Yes, the chest X-ray shows pneumonia. ","Yes, the chest X-ray shows pneumonia. ",0.5791015625,0.1534423828125,0.4256591796875,True,True,True,False
pneumonia_1,Is there consolidation in this X-ray? Answer with only 'Yes' or 'No'.,True,affirmative,pneumonia,baseline,"Yes, the chest X-ray shows consolidation. ","Yes, the chest X-ray shows consolidation. ",0.5874794125556946,0.23736314475536346,0.3501162678003311,True,True,True,False
pneumonia_1,Is there consolidation in this X-ray? Answer with only 'Yes' or 'No'.,True,affirmative,pneumonia,vcd,"Yes, the chest X-ray shows consolidation. ","Yes, the chest X-ray shows consolidation. ",0.63916015625,0.22265625,0.41650390625,True,True,True,False
pneumonia_1,Is there no pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,False,negated,pneumonia,baseline,"Yes, the chest X-ray does not show any signs of pneumonia. ","Yes, the chest X-ray does not show any signs of pneumonia. ",0.7481856942176819,0.08136142045259476,0.6668242737650871,True,True,False,True
pneumonia_1,Is there no pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,False,negated,pneumonia,vcd,"Yes, the chest X-ray does not show any signs of pneumonia. ","Yes, the chest X-ray does not show any signs of pneumonia. ",0.78662109375,0.07666015625,0.7099609375,True,True,False,True
pneumonia_1,Is there no lung abnormality in this X-ray? Answer with only 'Yes' or 'No'.,False,negated,pneumonia,baseline,"Yes, the chest X-ray appears to be normal, with no lung abnormalities detected. ","Yes, the chest X-ray appears to be normal, with no lung abnormalities detected. ",0.711233913898468,0.08832858502864838,0.6229053288698196,True,True,False,True
pneumonia_1,Is there no lung abnormality in this X-ray? Answer with only 'Yes' or 'No'.,False,negated,pneumonia,vcd,"Yes, the chest X-ray appears to be normal, with no lung abnormalities detected. ","Yes, the chest X-ray appears to be normal, with no lung abnormalities detected. ",0.74169921875,0.0858154296875,0.6558837890625,True,True,False,True
pneumonia_2,Is there pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,True,affirmative,pneumonia,baseline,"Yes, the chest X-ray shows pneumonia. ","Yes, the chest X-ray shows pneumonia. ",0.5182982683181763,0.16056132316589355,0.3577369451522827,True,True,True,False
pneumonia_2,Is there pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,True,affirmative,pneumonia,vcd,"Yes, the chest X-ray shows pneumonia. ","Yes, the chest X-ray shows pneumonia. ",0.578125,0.1617431640625,0.4163818359375,True,True,True,False
pneumonia_2,Is there consolidation in this X-ray? Answer with only 'Yes' or 'No'.,True,affirmative,pneumonia,baseline,"Yes, the chest X-ray shows consolidation. ","Yes, the chest X-ray shows consolidation. ",0.5760936141014099,0.24777477979660034,0.32831883430480957,True,True,True,False
pneumonia_2,Is there consolidation in this X-ray? Answer with only 'Yes' or 'No'.,True,affirmative,pneumonia,vcd,"Yes, the chest X-ray shows consolidation. ","Yes, the chest X-ray shows consolidation. ",0.5751953125,0.273681640625,0.301513671875,True,True,True,False
pneumonia_2,Is there no pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,False,negated,pneumonia,baseline,"Yes, the chest X-ray does not show any signs of pneumonia. ","Yes, the chest X-ray does not show any signs of pneumonia. ",0.7483307123184204,0.08595144748687744,0.662379264831543,True,True,False,True
pneumonia_2,Is there no pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,False,negated,pneumonia,vcd,"Yes, the chest X-ray does not show any signs of pneumonia. ","Yes, the chest X-ray does not show any signs of pneumonia. ",0.78125,0.0836181640625,0.6976318359375,True,True,False,True
pneumonia_2,Is there no lung abnormality in this X-ray? Answer with only 'Yes' or 'No'.,False,negated,pneumonia,baseline,"Yes, the chest X-ray appears to be normal, with no lung abnormalities detected. ","Yes, the chest X-ray appears to be normal, with no lung abnormalities detected. ",0.7239084839820862,0.08645854145288467,0.6374499425292015,True,True,False,True
pneumonia_2,Is there no lung abnormality in this X-ray? Answer with only 'Yes' or 'No'.,False,negated,pneumonia,vcd,"Yes, the chest X-ray appears to be normal, with no lung abnormalities detected. ","Yes, the chest X-ray appears to be normal, with no lung abnormalities detected. ",0.75,0.08685302734375,0.66314697265625,True,True,False,True
pneumonia_3,Is there pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,True,affirmative,pneumonia,baseline,"Yes, the chest X-ray shows pneumonia. ","Yes, the chest X-ray shows pneumonia. ",0.5243105292320251,0.152583047747612,0.37172748148441315,True,True,True,False
pneumonia_3,Is there pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,True,affirmative,pneumonia,vcd,"Yes, the chest X-ray shows pneumonia. ","Yes, the chest X-ray shows pneumonia. ",0.62548828125,0.1417236328125,0.4837646484375,True,True,True,False
pneumonia_3,Is there consolidation in this X-ray? Answer with only 'Yes' or 'No'.,True,affirmative,pneumonia,baseline,"Yes, the chest X-ray shows consolidation. ","Yes, the chest X-ray shows consolidation. ",0.5909402370452881,0.22961466014385223,0.36132557690143585,True,True,True,False
pneumonia_3,Is there consolidation in this X-ray? Answer with only 'Yes' or 'No'.,True,affirmative,pneumonia,vcd,"Yes, the chest X-ray shows consolidation. ","Yes, the chest X-ray shows consolidation. ",0.62158203125,0.23583984375,0.3857421875,True,True,True,False
pneumonia_3,Is there no pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,False,negated,pneumonia,baseline,"Yes, the chest X-ray does not show any signs of pneumonia. ","Yes, the chest X-ray does not show any signs of pneumonia. ",0.7431949377059937,0.08338415622711182,0.6598107814788818,True,True,False,True
pneumonia_3,Is there no pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,False,negated,pneumonia,vcd,"Yes, the chest X-ray does not show any signs of pneumonia. ","Yes, the chest X-ray does not show any signs of pneumonia. ",0.775390625,0.0804443359375,0.6949462890625,True,True,False,True
pneumonia_3,Is there no lung abnormality in this X-ray? Answer with only 'Yes' or 'No'.,False,negated,pneumonia,baseline,"Yes, the chest X-ray appears to be normal, with no lung abnormalities detected. ","Yes, the chest X-ray appears to be normal, with no lung abnormalities detected. ",0.7205235362052917,0.08538457751274109,0.6351389586925507,True,True,False,True
pneumonia_3,Is there no lung abnormality in this X-ray? Answer with only 'Yes' or 'No'.,False,negated,pneumonia,vcd,"Yes, the chest X-ray appears to be normal, with no lung abnormalities detected. ","Yes, the chest X-ray appears to be normal, with no lung abnormalities detected. ",0.76220703125,0.08160400390625,0.68060302734375,True,True,False,True
pneumonia_4,Is there pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,True,affirmative,pneumonia,baseline,"Yes, the chest X-ray shows pneumonia. ","Yes, the chest X-ray shows pneumonia. ",0.48101818561553955,0.15374265611171722,0.3272755295038223,True,True,True,False
pneumonia_4,Is there pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,True,affirmative,pneumonia,vcd,"Yes, the chest X-ray shows pneumonia. ","Yes, the chest X-ray shows pneumonia. ",0.5615234375,0.1488037109375,0.4127197265625,True,True,True,False
pneumonia_4,Is there consolidation in this X-ray? Answer with only 'Yes' or 'No'.,True,affirmative,pneumonia,baseline,"Yes, the chest X-ray shows consolidation. ","Yes, the chest X-ray shows consolidation. ",0.5826465487480164,0.22288215160369873,0.3597643971443176,True,True,True,False
pneumonia_4,Is there consolidation in this X-ray? Answer with only 'Yes' or 'No'.,True,affirmative,pneumonia,vcd,"Yes, the chest X-ray shows consolidation. ","Yes, the chest X-ray shows consolidation. ",0.60302734375,0.22900390625,0.3740234375,True,True,True,False
pneumonia_4,Is there no pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,False,negated,pneumonia,baseline,"Yes, the chest X-ray does not show any signs of pneumonia. ","Yes, the chest X-ray does not show any signs of pneumonia. ",0.747073233127594,0.0787409320473671,0.6683323010802269,True,True,False,True
pneumonia_4,Is there no pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,False,negated,pneumonia,vcd,"Yes, the chest X-ray does not show any signs of pneumonia. ","Yes, the chest X-ray does not show any signs of pneumonia. ",0.77294921875,0.0765380859375,0.6964111328125,True,True,False,True
pneumonia_4,Is there no lung abnormality in this X-ray? Answer with only 'Yes' or 'No'.,False,negated,pneumonia,baseline,"Yes, the chest X-ray appears to be normal, with no lung abnormalities detected. ","Yes, the chest X-ray appears to be normal, with no lung abnormalities detected. ",0.7202972173690796,0.07956217974424362,0.640735037624836,True,True,False,True
pneumonia_4,Is there no lung abnormality in this X-ray? Answer with only 'Yes' or 'No'.,False,negated,pneumonia,vcd,"Yes, the chest X-ray appears to be normal, with no lung abnormalities detected. ","Yes, the chest X-ray appears to be normal, with no lung abnormalities detected. ",0.7431640625,0.0814208984375,0.6617431640625,True,True,False,True
pneumonia_5,Is there pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,True,affirmative,pneumonia,baseline,"Yes, the chest X-ray shows pneumonia. ","Yes, the chest X-ray shows pneumonia. ",0.47264331579208374,0.16984793543815613,0.3027953803539276,True,True,True,False
pneumonia_5,Is there pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,True,affirmative,pneumonia,vcd,"Yes, the infant's chest X-ray shows signs of pneumonia. ","Yes, the infant's chest X-ray shows signs of pneumonia. ",0.53662109375,0.177001953125,0.359619140625,True,True,True,False
pneumonia_5,Is there consolidation in this X-ray? Answer with only 'Yes' or 'No'.,True,affirmative,pneumonia,baseline,"Yes, the chest X-ray shows consolidation. ","Yes, the chest X-ray shows consolidation. ",0.5576562881469727,0.2553136646747589,0.30234262347221375,True,True,True,False
pneumonia_5,Is there consolidation in this X-ray? Answer with only 'Yes' or 'No'.,True,affirmative,pneumonia,vcd,"Yes, the chest X-ray shows consolidation. ","Yes, the chest X-ray shows consolidation. ",0.54443359375,0.293701171875,0.250732421875,True,True,True,False
pneumonia_5,Is there no pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,False,negated,pneumonia,baseline,"Yes, the chest X-ray does not show any signs of pneumonia. ","Yes, the chest X-ray does not show any signs of pneumonia. ",0.7396028637886047,0.08428789675235748,0.6553149670362473,True,True,False,True
pneumonia_5,Is there no pneumonia in this X-ray? Answer with only 'Yes' or 'No'.,False,negated,pneumonia,vcd,"Yes, the chest X-ray does not show any signs of pneumonia. ","Yes, the chest X-ray does not show any signs of pneumonia. ",0.74609375,0.09637451171875,0.64971923828125,True,True,False,True
pneumonia_5,Is there no lung abnormality in this X-ray? Answer with only 'Yes' or 'No'.,False,negated,pneumonia,baseline,"Yes, the chest X-ray appears to be normal, with no lung abnormalities detected. ","Yes, the chest X-ray appears to be normal, with no lung abnormalities detected. ",0.7222970128059387,0.08361195027828217,0.6386850625276566,True,True,False,True
pneumonia_5,Is there no lung abnormality in this X-ray? Answer with only 'Yes' or 'No'.,False,negated,pneumonia,vcd,"Yes, the chest X-ray appears to be normal, with no lung abnormalities detected. ","Yes, the chest X-ray appears to be normal, with no lung abnormalities detected. ",0.7353515625,0.09417724609375,0.64117431640625,True,True,False,True
